id;id_tech;num_sous;num_dossier;nom_assure
1;43378;Sierra Leone Open-source;withdrawal;generate Cambridgeshire markets
2;27967;Syrian Pound Som;Forward Director;Naira Customer
3;31592;ivory;bandwidth Directives Pizza;Taiwan Fantastic Cotton Computer
4;53510;Sleek payment;withdrawal Cotton;archive Practical Delaware
5;84926;e-markets back-end;Cotton;firewall deposit
6;717;connecting Jewelery Total;Canada local area network;Norwegian Krone South Dakota Rustic
7;80304;Future;Pine Gorgeous;morph National background
8;115;Fantastic Cotton Bike;metrics;Chief backing up
9;53277;Cambridgeshire input;channels;parse B2B
10;34776;Legacy interfaces;Computer Niger;Rubber collaborative compress
