id;id_tech;num_badge;num_badge_dest;nom_collab;prenom_collab;code_uo
1;14543;payment;Keyboard;Fantastic Granite Shirt turn-key Factors;generating functionalities digital;Designer Lodge Senior
2;48107;card;auxiliary;empower;payment platforms;Keyboard North Dakota
3;54323;Ergonomic Wooden Ball Handmade Frozen Mouse;architectures application;Refined encoding;Books reinvent;Plastic protocol system
4;4234;pricing structure extend communities;payment;Ohio;bleeding-edge relationships auxiliary;EXE JSON instruction set
5;45529;XSS;Mozambique;Technician out-of-the-box;synthesize Bond Markets Units European Composite Unit (EURCO);Automotive
6;23240;Berkshire Handcrafted Soft Bike;Identity e-commerce;transmit;Berkshire Oregon Locks;protocol
7;69189;Architect Associate;fuchsia;Ethiopian Birr;Afghanistan Croatian Kuna;Nevada
8;6854;e-services;Compatible Technician Congolese Franc;withdrawal auxiliary;Common Eritrea;Kentucky
9;88087;IB;granular;XSS bluetooth markets;archive hack navigate;Cambridgeshire Liechtenstein
10;80800;client-driven;User-centric Berkshire;Michigan;Multi-channelled concept Convertible Marks;Aruban Guilder Designer
